seq,status,note
s069,ok,ok(attempt=1)
s070,ok,ok(attempt=1)
s071,ok,ok(attempt=1)
s072,ok,ok(attempt=1)
s073,ok,ok(attempt=1)
s074,ok,ok(attempt=1)
s075,ok,ok(attempt=1)
s076,ok,ok(attempt=1)
s077,ok,ok(attempt=1)
s078,ok,ok(attempt=1)
s079,ok,ok(attempt=1)
s080,ok,ok(attempt=1)
s081,ok,ok(attempt=1)
s082,ok,ok(attempt=1)
s083,ok,ok(attempt=1)
s084,ok,ok(attempt=1)
s085,ok,ok(attempt=1)
s086,ok,ok(attempt=1)
s087,ok,ok(attempt=1)
s088,ok,ok(attempt=1)
s089,ok,ok(attempt=1)
s090,ok,ok(attempt=1)
s091,ok,ok(attempt=1)
s092,ok,ok(attempt=1)
s093,ok,ok(attempt=1)
s094,ok,ok(attempt=1)
s095,ok,ok(attempt=1)
s096,ok,ok(attempt=1)
s097,ok,ok(attempt=1)
s098,ok,ok(attempt=1)
s099,ok,ok(attempt=1)
s100,ok,ok(attempt=1)
s101,ok,ok(attempt=1)
s102,ok,ok(attempt=1)
s103,ok,ok(attempt=1)
s104,ok,ok(attempt=1)
s105,ok,ok(attempt=1)
s106,ok,ok(attempt=1)
s107,ok,ok(attempt=1)
s108,ok,ok(attempt=1)
s109,ok,ok(attempt=1)
s110,ok,ok(attempt=1)
s111,ok,ok(attempt=1)
s112,ok,ok(attempt=1)
s113,ok,ok(attempt=1)
s114,ok,ok(attempt=1)
s115,ok,ok(attempt=1)
s116,ok,ok(attempt=1)
s117,ok,ok(attempt=1)
s118,ok,ok(attempt=1)
s119,ok,ok(attempt=1)
s120,ok,ok(attempt=1)
s121,ok,ok(attempt=1)
s122,ok,ok(attempt=1)
s123,ok,ok(attempt=1)
s124,ok,ok(attempt=1)
s125,ok,ok(attempt=1)
s126,ok,ok(attempt=1)
s127,ok,ok(attempt=1)
s128,ok,ok(attempt=1)
s129,ok,ok(attempt=1)
s130,ok,ok(attempt=1)
s131,ok,ok(attempt=1)
s132,ok,ok(attempt=1)
s288,ok,ok(attempt=1)
s290,ok,ok(attempt=1)
s291,ok,ok(attempt=1)
s293,ok,ok(attempt=1)
s295,ok,ok(attempt=1)
s296,ok,ok(attempt=1)
s297,ok,ok(attempt=1)
s298,ok,ok(attempt=1)
s300,ok,ok(attempt=1)
s302,ok,ok(attempt=1)
s304,ok,ok(attempt=1)
s305,ok,ok(attempt=1)
s306,ok,ok(attempt=1)
s307,ok,ok(attempt=1)
s309,ok,ok(attempt=1)
s311,ok,ok(attempt=1)
s312,ok,ok(attempt=1)
s313,ok,ok(attempt=1)
s314,ok,ok(attempt=1)
s317,ok,ok(attempt=1)
s319,ok,ok(attempt=1)
s321,ok,ok(attempt=1)
s323,ok,ok(attempt=1)
s324,ok,ok(attempt=1)
s327,ok,ok(attempt=1)
s328,ok,ok(attempt=1)
s330,ok,ok(attempt=1)
s332,ok,ok(attempt=1)
s334,ok,ok(attempt=1)
s336,ok,ok(attempt=1)
s338,ok,ok(attempt=1)
s340,ok,ok(attempt=1)
s341,ok,ok(attempt=1)
s342,ok,ok(attempt=1)
s344,ok,ok(attempt=1)
s345,ok,ok(attempt=1)
s347,ok,ok(attempt=1)
s349,ok,ok(attempt=1)
s351,ok,ok(attempt=1)
s352,ok,ok(attempt=1)
s353,ok,ok(attempt=1)
s355,ok,ok(attempt=1)
s357,ok,ok(attempt=1)
s359,ok,ok(attempt=1)
s361,ok,ok(attempt=1)
s363,ok,ok(attempt=1)
s364,ok,ok(attempt=1)
s366,ok,ok(attempt=1)
